GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
2	rs55657303	1	26653973	rs67397717	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Monocyte count	170,721 European ancestry individuals	NA	1p36.11	AIM1L	AIM1L			55057			rs67397717-C	rs67397717	0	67397717	intron_variant	0	0.6571	8E-12	11.096910013008056		0.02593297	[0.019-0.033] unit increase	Affymetrix [~ 2500000] (imputed)	N
3	rs7533743	1	39551488	rs72634501	2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	HDL cholesterol	up to 62,166 European ancestry individuals	NA	1p34.3	MACF1, PABPC4	MACF1			23499			rs72634501-T	rs72634501	0	72634501	intron_variant	0	0.77	8E-10	9.096910013008056		0.044	[0.03-0.058] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
3	rs7533743	1	39569571	rs2282231	2017-08-07	27082954	Ward-Caviness CK	2016-04-15	PLoS One	www.ncbi.nlm.nih.gov/pubmed/27082954	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	Peripheral arterial disease (traffic-related air pollution interaction)	104 European ancestry cases, 1,519 European ancestry controls, 34 African American cases, 520 African American controls	NA	1p34.3	NR	MACF1			23499			rs2282231-G	rs2282231	0	2282231	intron_variant	0	0.22	2E-6	5.698970004336019	(EA)	3.07	[2.58-3.56]	Illumina [905956]	N
3	rs7533743	1	39714238	rs11205823	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular hemoglobin concentration	172,851 European ancestry individuals	NA	1p34.3	MACF1	MACF1			23499			rs11205823-A	rs11205823	0	11205823	intron_variant	0	0.7117	2E-10	9.698970004336019		0.02440408	[0.017-0.032] unit increase	Affymetrix [~ 2500000] (imputed)	N
3	rs7533743	1	39731550	rs4660214	2017-08-07	27082954	Ward-Caviness CK	2016-04-15	PLoS One	www.ncbi.nlm.nih.gov/pubmed/27082954	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	Peripheral arterial disease (traffic-related air pollution interaction)	104 European ancestry cases, 1,519 European ancestry controls, 34 African American cases, 520 African American controls	NA	1p34.3	MACF1	MACF1			23499			rs4660214-G	rs4660214	0	4660214	intron_variant	0	0.22	1E-6	6.0	(EA)	3.08	[2.61-3.55]	Illumina [905956]	N
3	rs7533743	1	39835817	rs2296172	2017-06-26	28334899	Spracklen CN	2017-02-21	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28334899	Association analyses of East Asian individuals and trans-ancestry analyses with European individuals reveal new loci associated with cholesterol and triglyceride levels.	HDL cholesterol levels	34,930 East Asian ancestry individuals, 187,167 European ancestry individuals	8,741 Chinese ancestry individuals	1p34.3	PABPC4	MACF1			23499			rs2296172-A	rs2296172	0	2296172	missense_variant	0	0.806	2E-19	18.69897000433602	(Trans-ethnic initial)	0.0365	[0.028-0.045] unit increase (EA Beta values)	Affymetrix, Illumina [~ 1900000] (imputed)	N
3	rs7533743	1	39835817	rs2296172	2017-08-07	27082954	Ward-Caviness CK	2016-04-15	PLoS One	www.ncbi.nlm.nih.gov/pubmed/27082954	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	Peripheral arterial disease (traffic-related air pollution interaction)	104 European ancestry cases, 1,519 European ancestry controls, 34 African American cases, 520 African American controls	NA	1p34.3	MACF1	MACF1			23499			rs2296172-G	rs2296172	0	2296172	missense_variant	0	0.22	1E-6	6.0	(EA)	3.08	[2.61-3.55]	Illumina [905956]	N
3	rs7533743	1	39835817	rs2296172	2017-10-20	28869590	Zhao W	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869590	Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.	Type 2 diabetes	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	7,888 South Asian ancestry cases, 20,679 South Asian ancestry controls, 387 European ancestry cases, 2,092 European ancestry controls, 19,998 East Asian ancestry cases, 30,983 East Asian ancestry controls	1p34.3	MACF1	MACF1			23499			rs2296172-G	rs2296172	0	2296172	missense_variant	0	0.1948	3E-6	5.522878745280337	(EA)	0.0581	[0.034-0.083] unit increase	Affymetrix, Illumina [NR] (imputed)	N
3	rs7533743	1	39835817	rs2296172	2017-10-20	28869590	Zhao W	2017-09-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28869590	Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.	Type 2 diabetes	6,353 South Asian ancestry cases, 7,179 South Asian ancestry controls, 3,871 European ancestry cases, 16,427 European ancestry controls, 34,840 cases, 114,981 controls	7,888 South Asian ancestry cases, 20,679 South Asian ancestry controls, 387 European ancestry cases, 2,092 European ancestry controls, 19,998 East Asian ancestry cases, 30,983 East Asian ancestry controls	1p34.3	MACF1	MACF1			23499			rs2296172-G	rs2296172	0	2296172	missense_variant	0	0.1948	6E-7	6.221848749616356		0.05	[0.03-0.07] unit increase	Affymetrix, Illumina [NR] (imputed)	N
3	rs7533743	1	39923775	rs658191	2016-12-06	27207650	Schmit SL	2016-04-18	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/27207650	Genome-wide association study of colorectal cancer in Hispanics.	Colorectal cancer	1,611 Hispanic cases, 4,330 Hispanic controls	NA	1p34.3	NR	MACF1			23499			rs658191-G	rs658191	0	658191	non_coding_transcript_exon_variant	0	0.03	4E-7	6.3979400086720375		1.86	[1.46-2.36]	Illumina [9875636] (imputed)	N
3	rs7533743	1	39989926	rs710913	2017-08-07	27082954	Ward-Caviness CK	2016-04-15	PLoS One	www.ncbi.nlm.nih.gov/pubmed/27082954	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	Peripheral arterial disease (traffic-related air pollution interaction)	104 European ancestry cases, 1,519 European ancestry controls, 34 African American cases, 520 African American controls	NA	1p34.3	BMP8A	BMP8A, PPIEL			353500, 728448			rs710913-G	rs710913	0	710913	non_coding_transcript_exon_variant	0	0.36	7E-6	5.154901959985743				Illumina [905956]	N
3	rs7533743	1	39995074	rs755249	2017-08-07	27082954	Ward-Caviness CK	2016-04-15	PLoS One	www.ncbi.nlm.nih.gov/pubmed/27082954	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	Peripheral arterial disease (traffic-related air pollution interaction)	104 European ancestry cases, 1,519 European ancestry controls, 34 African American cases, 520 African American controls	NA	1p34.3	BMP8A	BMP8A, PPIEL			353500, 728448			rs755249-G	rs755249	0	755249	intron_variant	0	0.24	2E-8	7.698970004336019	(EA)	3.45	[3-3.9]	Illumina [905956]	N
3	rs7533743	1	40018509	rs4660808	2017-02-25	27286809	Ligthart S	2016-06-10	BMC Genomics	www.ncbi.nlm.nih.gov/pubmed/27286809	Bivariate genome-wide association study identifies novel pleiotropic loci for lipids and inflammation.	C-reactive protein levels or triglyceride levels (pleiotropy)	65,000 individuals (C-reactive protein), 96,598 individuals (triglycerides)	NA	1p34.3	PABPC4	PPIEL			728448			rs4660808-T	rs4660808	0	4660808	intron_variant	0	NR	2E-13	12.698970004336019				NR [25015711] (imputed)	N
3	rs7533743	1	40028180	rs4660293	2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	HDL cholesterol	99,900 European ancestry individuals	NA	1p34.3	MACF1, PABPC4	PABPC4			8761			rs4660293-G	rs4660293	0	4660293	non_coding_transcript_exon_variant	0	0.23	4E-10	9.397940008672037		0.48	[0.3-0.66] mg/dL decrease	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	N
3	rs7533743	1	40028180	rs4660293	2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	HDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	1p34.3	PABPC4	PABPC4			8761			rs4660293-G	rs4660293	0	4660293	non_coding_transcript_exon_variant	0	0.24	3E-18	17.522878745280337		0.035	[NR] unit decrease	NR [NR] (imputed)	N
3	rs7533743	1	40028180	rs4660293	2017-02-25	27286809	Ligthart S	2016-06-10	BMC Genomics	www.ncbi.nlm.nih.gov/pubmed/27286809	Bivariate genome-wide association study identifies novel pleiotropic loci for lipids and inflammation.	C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	65,000 individuals (C-reactive protein), 99,900 individuals (HDL-cholesterol)	NA	1p34.3	PABPC4	PABPC4			8761			rs4660293-A	rs4660293	0	4660293	non_coding_transcript_exon_variant	0	NR	3E-15	14.522878745280337				NR [2501543] (imputed)	N
3	rs7533743	1	40035686	rs17513135	2017-06-16	28166213	Wain LV	2017-02-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28166213	Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets.	Lung function (FEV1/FVC)	48,943 European ancestry individuals	57,176 European ancestry individuals, 38,199 individuals.	1p34.3	LOC101929516	LOC101929516, PABPC4			101929516, 8761			rs17513135-T	rs17513135	0	17513135	intron_variant	0	0.23	2E-16	15.698970004336019		0.038	[0.028-0.048] unit decrease	Affymetrix [27624732] (imputed)	N
3	rs7533743	1	40035928	rs3768321	2017-02-17	27189021	Cook JP	2016-05-18	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27189021	Multi-ethnic genome-wide association study identifies novel locus for type 2 diabetes susceptibility.	Type 2 diabetes	746 African American cases, 2,825 African American controls, 743 East Asian ancestry cases, 3,992 East Asian ancestry controls, 7,111 European ancestry cases, 49,688 European ancestry controls, 1,147 Latino cases, 5,352 Latino controls	12,171 European ancestry cases, 56,862 European ancestry controls	1p34.3	MACF1	PABPC4, LOC101929516			8761, 101929516			rs3768321-T	rs3768321	0	3768321	intron_variant	0	0.185	2E-9	8.698970004336019		1.13	[1.08-1.17]	NR [at least 8497425] (imputed)	N
3	rs7533743	1	40035928	rs3768321	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Red cell distribution width	171,529 European ancestry individuals	NA	1p34.3	PABPC4, RP11-69E11.8	PABPC4, LOC101929516			8761, 101929516			rs3768321-T	rs3768321	0	3768321	intron_variant	0	0.1975	2E-16	15.698970004336019		0.03667472	[0.028-0.045] unit increase	Affymetrix [~ 2500000] (imputed)	N
3	rs7533743	1	40064961	rs12037222	2015-05-23	21300955	Dehghan A	2011-02-07	Circulation	www.ncbi.nlm.nih.gov/pubmed/21300955	Meta-analysis of genome-wide association studies in &gt;80 000 subjects identifies multiple loci for C-reactive protein levels.	C-reactive protein levels	63,678 European ancestry individuals 1,792 Erasmus Ruchpen individuals, 715 Orcadian individuals	16,540 European ancestry individuals	1p34.3	PABPC4	PABPC4 - HEYL	8761	26508		22440	24142	rs12037222-A	rs12037222	0	12037222	regulatory_region_variant	1	NR	6E-11	10.221848749616356		0.045	[0.03-0.06] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
3	rs7533743	1	40069939	rs3916164	2013-03-19	23222517	van der Harst P	2012-12-05	Nature	www.ncbi.nlm.nih.gov/pubmed/23222517	Seventy-five genetic loci influencing the human red blood cell.	Red blood cell traits	62,553 European ancestry individuals, 9,308 South Asian ancestry individuals	63,506 European ancestry individuals	1p34.2	HEYL	PABPC4 - HEYL	8761	26508		27418	19164	rs3916164-G	rs3916164	0	3916164	intergenic_variant	1	0.71	3E-10	9.522878745280337	(MCH)	0.008	[0.0072-0.0088] unit increase	Affymetrix, Illumina, Perlegen [2711806] (imputed)	N
3	rs188513593	1	41239511	rs4660456	2011-06-01	21507922	Ramsuran V	2011-05-01	Clin Infect Dis	www.ncbi.nlm.nih.gov/pubmed/21507922	Duffy-null-associated low neutrophil counts influence HIV-1 susceptibility in high-risk South African black women.	Platelet count	115 African ancestry HIV-negative individuals	NA	1p34.2	NFYC	NFYC - KCNQ4	4802	9132		2236	10173	rs4660456-?	rs4660456	0	4660456	downstream_gene_variant	1	NR	4E-6	5.3979400086720375				Illumina [874956]	N
4	rs4660691	1	43428757	rs710216	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Red cell distribution width	171,529 European ancestry individuals	NA	1p34.2	SLC2A1-AS1	SLC2A1-AS1			440584			rs710216-G	rs710216	0	710216	intron_variant	0	0.2095	1E-16	16.0		0.03605805	[0.028-0.045] unit increase	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66058801	rs4655537	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1p31.3	LEPR	LEPR			3953			rs4655537-A	rs4655537	0	4655537	intron_variant	0	0.3475855	7E-15	14.154901959985743	(Leptin receptor)	0.3502	[0.26-0.44] unit increase	Affymetrix [509946]	N
5	rs12127241	1	66073361	rs4606347	2017-05-11	28031287	Sasayama D	2016-11-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28031287	Genome-wide quantitative trait loci mapping of the human cerebrospinal fluid proteome.	Cerebrospinal fluid biomarker levels	133 Japanese ancestry individuals.	NA	1p31.3	NR	LEPR			3953			rs4606347-?	rs4606347	0	4606347	intron_variant	0	NR	2E-12	11.698970004336019	(Leptin receptor)			Illumina [514227]	N
5	rs12127241	1	66086194	rs10889569	2014-01-10	23844046	Dorajoo R	2013-07-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23844046	Are C-reactive protein associated genetic variants associated with serum levels and retinal markers of microvascular pathology in Asian populations from Singapore?	C-reactive protein	2,179 Chinese ancestry individuals, 2,275 Malay ancestry individuals, 2,238 Asian Indian ancestry individuals	NA	1p31.3	LEPR	LEPR			3953			rs10889569-T	rs10889569	0	10889569	intron_variant	0	0.778	9E-9	8.045757490560675		0.05	[NR] unit increase	Illumina [up to 1745429] (imputed)	N
5	rs12127241	1	66089782	rs6700896	2009-07-12	19567438	Elliott P	2009-07-01	JAMA	www.ncbi.nlm.nih.gov/pubmed/19567438	Genetic Loci associated with C-reactive protein levels and risk of coronary heart disease.	C-reactive protein	17,967 European ancestry and Indian Asian ancestry individuals	13,615 European ancestry and Indian Asian ancestry Individuals	1p31.3	LEPR	LEPR			3953			rs6700896-T	rs6700896	0	6700896	intron_variant	0	NR	3E-14	13.522878745280337		14.8	[12.0-17.6] % decrease	Affymetrix, Illumina, Perlegen [~ 1400000] (imputed)	N
5	rs12127241	1	66089782	rs6700896	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular hemoglobin	172,332 European ancestry individuals	NA	1p31.3	LEPR	LEPR			3953			rs6700896-T	rs6700896	0	6700896	intron_variant	0	0.3795	1E-15	15.0		0.0291606	[0.022-0.036] unit increase	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66089782	rs6700896	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular volume	172,433 European ancestry individuals	NA	1p31.3	LEPR	LEPR			3953			rs6700896-T	rs6700896	0	6700896	intron_variant	0	0.3795	4E-11	10.397940008672037		0.02393386	[0.017-0.031] unit increase	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66092570	rs11208691	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Lymphocyte percentage of white cells	171,748 European ancestry individuals	NA	1p31.3	LEPR	LEPR			3953			rs11208691-G	rs11208691	0	11208691	intron_variant	0	0.371	8E-10	9.096910013008056		0.02270515	[0.015-0.03] unit increase	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66099013	rs17415296	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1p31.3	LEPR	LEPR			3953			rs17415296-A	rs17415296	0	17415296	3_prime_UTR_variant	0	0.1928499	4E-229	228.39794000867204	(Leptin receptor)	1.4	[1.34-1.46] unit decrease	Affymetrix [509946]	N
5	rs12127241	1	66102257	rs1805096	2012-11-02	22939635	Reiner AP	2012-08-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22939635	Genome-wide association and population genetic analysis of C-reactive protein in African American and Hispanic American women.	C-reactive protein	8,280 African American female individuals, 3,548 Hispanic female individuals	3,787 African American female individuals, 3,548 Hispanic female individuals, 5,656 European ancestry individuals	1p31.3	LEPR	LEPR			3953			rs1805096-A	rs1805096	0	1805096	synonymous_variant	0	0.451	2E-9	8.698970004336019	(HA women)	0.113	[0.064-0.162] unit decrease	Affymetrix [up to 2203609] (imputed)	N
5	rs12127241	1	66105944	rs1892534	2008-06-22	18439548	Ridker PM	2008-04-24	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/18439548	Loci related to metabolic-syndrome pathways including LEPR,HNF1A, IL6R, and GCKR associate with plasma C-reactive protein: the Women's Genome Health Study.	C-reactive protein	6,345 European ancestry female individuals	NA	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		2768	120797	rs1892534-A	rs1892534	0	1892534	3_prime_UTR_variant	1	NR	7E-21	20.154901959985743		0.17	[NR] mg/dl decrease	Illumina [336108]	N
5	rs12127241	1	66105944	rs1892534	2016-10-05	26561523	de Vries PS	2015-11-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/26561523	A meta-analysis of 120,246 individuals identifies 18 new loci for fibrinogen concentration.	Fibrinogen levels	120,246 European ancestry individuals	NA	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		2768	120797	rs1892534-T	rs1892534	0	1892534	3_prime_UTR_variant	1	0.38	4E-15	14.397940008672037		0.0073	NR unit decrease	Affymetrix, Illumina [~ 10700000] (imputed)	N
5	rs12127241	1	66105944	rs1892534	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte count	169,822 European ancestry individuals	NA	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		2768	120797	rs1892534-T	rs1892534	0	1892534	3_prime_UTR_variant	1	0.3767	4E-37	36.39794000867204		0.04711612	[0.04-0.054] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66105944	rs1892534	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Myeloid white cell count	169,219 European ancestry individuals	NA	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		2768	120797	rs1892534-T	rs1892534	0	1892534	3_prime_UTR_variant	1	0.3766	8E-36	35.096910013008056		0.04634622	[0.039-0.054] unit decrease	Affymetrix [~ 2500000] (imputed)	N
5	rs12127241	1	66117829	rs1938492	2014-03-14	23969696	Sabater-Lleal M	2013-08-22	Circulation	www.ncbi.nlm.nih.gov/pubmed/23969696	Multiethnic meta-analysis of genome-wide association studies in &gt;100 000 subjects identifies 23 fibrinogen-associated Loci but no strong evidence of a causal association between circulating fibrinogen and cardiovascular disease.	Fibrinogen	91,323 European ancestry individuals	8,423 African American individuals, 1,447 Hispanic individuals	1p31.3	LEPR	LEPR - RN7SL854P	3953	106480383		14653	108912	rs1938492-A	rs1938492	0	1938492	intergenic_variant	1	0.62	5E-14	13.301029995663981	(EA)	0.008	[0.006-0.01] unit increase	Affymetrix, Illumina [2515567] (imputed)	N
